Rk,Player,Tm,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,Signed Using,Guaranteed
450,Eric Paschall\pascher01,GSW,898310,"$1,517,981 ","$1,782,621 ",,,,MLE,"$4,198,912 "
451,Nicolas Claxton\claxtni01,BRK,898310,"$1,517,981 ","$1,782,621 ",,,,Minimum Salary,"$4,198,912 "
452,Justin James\jamesju01,SAC,898310,"$1,517,981 ","$1,782,621 ",,,,Minimum Salary,"$2,416,291 "
453,Jalen Lecque\lecquja01,PHO,898310,"$1,517,981 ","$1,782,621 ","$1,930,681 ",,,Cap Space,"$2,416,291 "
454,Ignas Brazdeikis\brazdig01,NYK,898310,"$1,517,981 ","$1,782,621 ",,,,Minimum Salary,"$2,416,291 "
455,Talen Horton-Tucker\hortota01,LAL,898310,"$1,517,981 ",,,,,Minimum Salary,"$2,416,291 "
456,Daniel Gafford\gaffoda01,CHI,898310,"$1,517,981 ","$1,782,621 ","$1,930,681 ",,,Minimum Salary,"$2,416,291 "
457,Alen Smailagi?\smailal01,GSW,898310,"$1,517,981 ","$1,782,621 ","$1,930,681 ",,,MLE,"$2,415,891 "
458,Matt Thomas\thomama02,TOR,898310,"$1,517,981 ","$1,782,621 ",,,,MLE,"$1,623,310 "
459,Miye Oni\onimi01,UTA,898310,"$1,517,981 ","$1,782,621 ",,,,Minimum Salary,"$898,310 "
460,Dewan Hernandez\hernade01,TOR,898310,"$1,517,981 ","$1,782,621 ",,,,MLE,"$898,310 "
461,Terence Davis\daviste02,TOR,898310,"$1,517,981 ",,,,,Minimum Salary,"$898,310 "
462,Wenyen Gabriel\gabriwe01,POR,898310,,,,,,Minimum Salary,"$898,310 "
463,Naz Reid\reidna01,MIN,898310,"$1,517,981 ","$1,782,621 ","$1,930,681 ",,,MLE,"$898,310 "
464,Jalen McDaniels\mcdanja01,CHO,898310,"$1,517,981 ","$1,782,621 ","$1,930,681 ",,,Minimum Salary,"$898,310 "
