,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
493,Dion Waiters\waitedi01,SG,28,LAL,7,0,165,6.8,15.9,0.425,1.5,6.5,0.233,5.2,9.4,0.558,3.1,3.5,0.875,0.4,2.4,2.8,3.7,0.9,0.9,2.8,3.5,18.1
494,Kemba Walker\walkeke02,PG,29,BOS,56,56,1742,7.8,18.4,0.425,3.7,9.8,0.381,4.1,8.6,0.476,4.3,5,0.864,0.7,3.7,4.5,5.5,1,0.6,2.4,1.9,23.7
495,Lonnie Walker\walkelo01,SG,21,SAS,61,12,988,5.5,13,0.426,1.5,3.7,0.406,4,9.3,0.434,1.6,2.2,0.721,0.8,4.2,5.1,2.5,1.2,0.5,1.6,2.8,14.2
496,Tyrone Wallace\wallaty01,SG,25,ATL,14,0,160,3.2,9.9,0.318,0.2,3.4,0.067,2.9,6.5,0.448,2.5,3.8,0.647,0.7,4.3,5,2.9,1.6,0.2,2.3,4.3,9
497,Taurean Prince\princta02,SF,25,BRK,64,61,1857,5.4,14.3,0.376,2.8,8.4,0.339,2.6,6,0.429,1.4,1.7,0.798,1,6.4,7.4,2.2,1.1,0.5,2.5,3.1,15
498,Derrick Walton\waltode01,PG,24,TOT,26,1,248,2.6,5.7,0.462,1.5,3.5,0.417,1.2,2.2,0.533,1,1.3,0.778,0.3,2,2.3,3.9,1,0,0.7,3,7.7
498,Derrick Walton\waltode01,PG,24,LAC,23,1,222,2.8,5.8,0.472,1.5,3.4,0.429,1.3,2.4,0.533,1.1,1.5,0.778,0.3,2.1,2.4,3.6,0.6,0,0.6,3.1,8.1
498,Derrick Walton\waltode01,PG,24,DET,3,0,26,1.4,4.2,0.333,1.4,4.2,0.333,0,0,,0,0,,0,1.4,1.4,6.9,4.2,0,1.4,2.8,4.2
499,Brad Wanamaker\wanambr01,PG,30,BOS,71,1,1369,4.3,9.5,0.448,1,2.7,0.363,3.3,6.8,0.481,3.3,3.6,0.926,0.6,3.2,3.8,4.7,1.6,0.4,2,3.5,12.8
500,T.J. Warren\warretj01,SF,26,IND,67,67,2202,8.7,16.3,0.536,1.5,3.7,0.403,7.2,12.6,0.575,2.7,3.3,0.819,1.1,3.5,4.6,1.6,1.3,0.6,1.4,3.1,21.7
501,P.J. Washington\washipj01,PF,21,CHO,58,57,1759,5.5,12.1,0.455,1.8,4.7,0.374,3.7,7.3,0.507,1.8,2.8,0.647,1.2,5.3,6.5,2.5,1,0.9,1.9,3.2,14.5
502,Yuta Watanabe\watanyu01,SG,25,MEM,18,0,105,5.1,11.7,0.441,1,2.7,0.375,4.1,8.9,0.462,1,2.7,0.375,2.4,4.5,6.9,1.7,1.7,0.3,0.7,3.1,12.3
503,Tremont Waters\watertr01,PG,22,BOS,11,1,119,4.2,14.8,0.286,1.2,7.3,0.167,3,7.6,0.4,2.4,2.4,1,0,3.6,3.6,4.8,3,0.6,4.5,3.9,12.1
504,Paul Watson\watsopa01,SF-SG,25,TOT,10,0,87,4.1,10.8,0.385,1.7,5,0.333,2.5,5.8,0.429,2.9,3.7,0.778,0.8,6.2,7,3.3,1.7,0.4,1.2,2.1,12.8
504,Paul Watson\watsopa01,SG,25,ATL,2,0,17,0,14.8,0,0,6.4,0,0,8.5,0,0,0,,0,4.2,4.2,6.4,2.1,0,0,2.1,0
504,Paul Watson\watsopa01,SF,25,TOR,8,0,70,5.1,9.8,0.526,2.1,4.6,0.444,3.1,5.1,0.6,3.6,4.6,0.778,1,6.7,7.7,2.6,1.5,0.5,1.5,2.1,15.9
505,Quinndary Weatherspoon\weathqu01,SG,23,SAS,11,0,78,2.3,7.8,0.294,0.5,2.3,0.2,1.8,5.5,0.333,0.5,0.9,0.5,0.5,2.8,3.2,5.1,1.4,0.5,2.3,3.7,5.5
506,Russell Westbrook\westbru01,PG,31,HOU,57,57,2049,10.6,22.5,0.472,1,3.7,0.258,9.6,18.8,0.514,5.1,6.7,0.763,1.8,6.2,7.9,7,1.6,0.4,4.5,3.5,27.3
507,Coby White\whiteco01,SG,19,CHI,65,1,1674,6.7,17,0.394,2.9,8.1,0.354,3.8,8.9,0.43,2.2,2.8,0.791,0.6,4.3,4.9,3.8,1.1,0.1,2.3,2.5,18.5
508,Derrick White\whitede01,SG,25,SAS,68,20,1677,5.4,11.8,0.458,1.7,4.6,0.366,3.7,7.2,0.518,3.9,4.5,0.853,0.8,4,4.8,5.2,0.9,1.3,1.9,3.3,16.4
509,Hassan Whiteside\whiteha01,C,30,POR,67,61,2008,7.8,12.6,0.621,0.1,0.1,0.571,7.7,12.5,0.622,2.9,4.3,0.686,4.6,11.6,16.2,1.4,0.5,3.5,2.2,3.5,18.6
510,Andrew Wiggins\wiggian01,SF-SG,24,TOT,54,54,1858,8.5,18.9,0.447,2.2,6.5,0.332,6.3,12.5,0.506,3.7,5.2,0.709,1.3,4,5.3,3.8,0.9,1,2.6,2.5,22.8
510,Andrew Wiggins\wiggian01,SF,24,MIN,42,42,1455,8.7,19.5,0.444,2.3,6.8,0.331,6.4,12.7,0.505,3.7,5.1,0.72,1.2,4.2,5.4,3.8,0.7,0.9,2.6,2.5,23.3
510,Andrew Wiggins\wiggian01,SG,24,GSW,12,12,403,7.7,16.8,0.457,1.8,5.3,0.339,5.9,11.5,0.512,3.7,5.4,0.672,1.6,3.3,4.9,3.8,1.4,1.5,2.2,2.3,20.8
